language,spk_id,gender,age,native_language,dialect
Bulgarian,018,female,23,Bulgarian,no
Bulgarian,020,female,33,Bulgarian,no
Bulgarian,021,female,28,Bulgarian,no
Bulgarian,023,male,33,,
Bulgarian,025,female,26,Bulgarian,no
Bulgarian,026,male,30,Bulgarian,no
Bulgarian,027,male,59,Bulgarian,no
Bulgarian,032,female,15,,
Bulgarian,035,male,56,Bulgarian,no
Bulgarian,039,female,40,Bulgarian,no
Bulgarian,040,female,26,BG,no
Bulgarian,041,male,24,BG,no
Bulgarian,042,female,51,BG,no
Bulgarian,043,female,57,BG,no
Bulgarian,045,female,21,BG,no
Bulgarian,046,male,25,BG,no
Bulgarian,047,female,20,BG,no
Bulgarian,048,female,45,BG,no
Bulgarian,049,male,48,BG,no
Bulgarian,050,female,52,BG,no
Bulgarian,051,female,35,BG,no
Bulgarian,052,female,45,BG,no
Bulgarian,053,female,44,BG,no
Bulgarian,054,female,55,BG,no
Bulgarian,055,female,55,BG,no
Bulgarian,056,female,24,BG,no
Bulgarian,058,male,21,BG,no
Bulgarian,059,male,23,BG,no
Bulgarian,060,male,23,BG,no
Bulgarian,062,male,23,BG,no
Bulgarian,063,male,22,BG,no
Bulgarian,064,male,23,BG,no
Bulgarian,065,female,23,BG,no
Bulgarian,066,female,57,BG,no
Bulgarian,067,female,61,BG,no
Bulgarian,068,female,18,BG,no
Bulgarian,069,female,40,BG,no
Bulgarian,070,male,34,BG,no
Bulgarian,071,male,20,BG,no
Bulgarian,072,male,20,BG,
Bulgarian,073,female,18,BG,no
Bulgarian,075,male,25,BG,no
Bulgarian,077,male,23,BG,no
Bulgarian,078,male,23,BG,no
Bulgarian,079,female,22,BG,no
Bulgarian,080,male,25,BG,no
Bulgarian,082,male,22,BG,no
Bulgarian,083,female,22,BG,no
Bulgarian,084,male,22,BG,no
Bulgarian,085,female,23,BG,no
Bulgarian,087,male,23,BG,no
Bulgarian,088,female,23,BG,no
Bulgarian,089,female,20,BG,no
Bulgarian,090,male,66,BG,no
Bulgarian,091,male,51,BG,no
Bulgarian,092,female,28,BG,no
Bulgarian,093,female,54,BG,no
Bulgarian,094,female,40,BG,no
Bulgarian,095,female,35,BG,no
Bulgarian,096,female,21,BG,no
Bulgarian,097,male,15,BG,no
Bulgarian,098,male,15,BG,no
Bulgarian,099,male,28,BG,no
Bulgarian,100,female,23,BG,no
Bulgarian,101,female,49,BG,no
Bulgarian,102,female,53,BG,no
Bulgarian,103,female,66,BG,no
Bulgarian,104,female,18,BG,no
Bulgarian,105,male,35,BG,no
Bulgarian,106,female,31,BG,no
Bulgarian,107,female,47,BG,no
Bulgarian,109,female,18,BG,no
Bulgarian,110,female,20,BG,no
Bulgarian,111,male,41,BG,no
Bulgarian,112,female,23,BG,no
Bulgarian,113,male,44,BG,no
Bulgarian,114,male,22,bg,no
