language,spk_id,gender,age,native_language,dialect
Wu,001,female,32,Wu,
Wu,002,female,30,Wu,
Wu,003,female,35,Wu,SH
Wu,004,female,40,Wu,SH
Wu,005,female,59,Wu,SH
Wu,006,female,41,Wu,SH
Wu,007,male,38,Wu,SH
Wu,008,female,26,Wu,
Wu,009,male,42,Wu,
Wu,010,female,48,Wu,
Wu,011,female,43,Wu,
Wu,012,male,44,Wu,
Wu,013,male,46,Wu,
Wu,014,male,49,Wu,
Wu,015,male,38,SH,
Wu,016,female,29,Wu,
Wu,017,male,36,Wu,
Wu,018,male,40,Wu,
Wu,019,female,50,Wu,
Wu,020,male,33,Wu,
Wu,021,female,30,Wu,
Wu,022,male,35,Wu,
Wu,023,female,52,Wu,
Wu,024,male,50,Wu,
Wu,025,female,39,Wu,
Wu,026,female,65,Wu,
Wu,027,male,50,Wu,
Wu,028,female,40,Wu,
Wu,029,female,59,Wu,
Wu,030,female,43,Ningbo,
Wu,031,female,42,Shanghai,
Wu,032,female,46,Shanghai,
Wu,033,female,40,Shanghai,
Wu,034,male,30,Shanghai,
Wu,035,female,65,Nanjing,
Wu,036,male,69,WU Xi,
Wu,037,male,39,WU Xi,
Wu,038,female,65,WU Xi,
Wu,039,male,19,Shanghai,
Wu,040,female,63,Shanghai,
Wu,041,female,36,Shanghai,
