expname,training_languages,excluded_languages,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
ad_slavic_tr_all,slavic,ALL,1,/home/paul/gp-data/ad_slavic_tr_all/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_all/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_all/exp/results/classification_30s,0.552,0.626,0.767,1.032,0.893,0.515
ad_slavic_tr_no_bg,slavic,BG,1,/home/paul/gp-data/ad_slavic_tr_no_bg/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_bg/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_bg/exp/results/classification_30s,0.471,0.562,0.706,1.225,1.052,0.695
ad_slavic_tr_no_cr,slavic,CR,1,/home/paul/gp-data/ad_slavic_tr_no_cr/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_cr/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_cr/exp/results/classification_30s,0.478,0.548,0.694,1.171,1.042,0.683
ad_slavic_tr_no_cz,slavic,CZ,1,/home/paul/gp-data/ad_slavic_tr_no_cz/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_cz/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_cz/exp/results/classification_30s,0.501,0.591,0.726,1.159,0.992,0.627
ad_slavic_tr_no_pl,slavic,PL,1,/home/paul/gp-data/ad_slavic_tr_no_pl/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_pl/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_pl/exp/results/classification_30s,0.586,0.694,0.734,0.883,0.652,0.587
ad_slavic_tr_no_ru,slavic,RU,1,/home/paul/gp-data/ad_slavic_tr_no_ru/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_ru/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_ru/exp/results/classification_30s,0.462,0.536,0.689,1.192,0.992,0.676
ad_slavic_tr_all_2,slavic,ALL,2,/home/paul/gp-data/ad_slavic_tr_all_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_all_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_all_2/exp/results/classification_30s,0.563,0.647,0.79,1.021,0.869,0.478
ad_slavic_tr_no_bg_2,slavic,BG,2,/home/paul/gp-data/ad_slavic_tr_no_bg_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_bg_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_bg_2/exp/results/classification_30s,0.457,0.549,0.684,1.246,1.061,0.735
ad_slavic_tr_no_cr_2,slavic,CR,2,/home/paul/gp-data/ad_slavic_tr_no_cr_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_cr_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_cr_2/exp/results/classification_30s,0.489,0.566,0.718,1.188,1.04,0.647
ad_slavic_tr_no_cz_2,slavic,CZ,2,/home/paul/gp-data/ad_slavic_tr_no_cz_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_cz_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_cz_2/exp/results/classification_30s,0.463,0.532,0.674,1.227,1.099,0.74
ad_slavic_tr_no_pl_2,slavic,PL,2,/home/paul/gp-data/ad_slavic_tr_no_pl_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_pl_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_pl_2/exp/results/classification_30s,0.597,0.697,0.729,0.865,0.648,0.601
ad_slavic_tr_no_ru_2,slavic,RU,2,/home/paul/gp-data/ad_slavic_tr_no_ru_2/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_no_ru_2/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_no_ru_2/exp/results/classification_30s,0.498,0.586,0.734,1.137,0.977,0.595
ad_slavic_tr_all_3,slavic,ALL,3,/home/paul/gp-data/ad_slavic_tr_all_3/exp/results/classification_3s,/home/paul/gp-data/ad_slavic_tr_all_3/exp/results/classification_10s,/home/paul/gp-data/ad_slavic_tr_all_3/exp/results/classification_30s,0.535,0.617,0.754,1.061,0.908,0.554
